Lp,"Numer RSPO","Typ szkoły_placówki","Nazwa szkoły_placówki","Liczba uczniów ogółem","Liczba oddziałów ogółem","wychowanie przedszkolne","klasa wstępna","klasa I","klasa II","klasa III","klasa IV","klasa V","klasa VI","klasa VII","klasa VIII","Typ organu prowadzącego","Organ prowadzący",Wojewodztwo,Powiat,Gmina,Miejscowość,Ulica,"Nr domu","Nr lokalu","Kod pocztowy",Poczta,Telefon,"Specyfika szkoły","Kategoria uczniów","Publiczność szkoły_placówki"
27,9140,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 109 IM. KORNELA MAKUSZYŃSKIEGO W KRAKOWIE",644,27,0,0,76,103,86,83,71,100,70,55,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Józefa Mackiewicza",15,,31-214,Kraków,124155666,"brak specyfiki","Dzieci lub młodzież",publiczna
28,9144,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 48 IM. SZARYCH SZEREGÓW W KRAKOWIE",294,14,0,0,42,45,36,40,32,50,27,22,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Księcia Józefa",337,,30-243,Kraków,124297210,"brak specyfiki","Dzieci lub młodzież",publiczna
29,9326,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 113 IM. LEOPOLDA WĘGRZYNOWICZA W KRAKOWIE",316,16,11,0,42,41,39,36,39,42,45,21,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Piotra Stachiewicza",33,,31-328,Kraków,126374904,"brak specyfiki","Dzieci lub młodzież",publiczna
30,9804,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 104 IM. JANA MATEJKI W KRAKOWIE",181,8,0,0,22,23,23,21,20,17,29,26,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Wysokie",7,,31-819,Kraków,126484196,"brak specyfiki","Dzieci lub młodzież",publiczna
31,9835,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 2 IM. ŚW. WOJCIECHA W KRAKOWIE",947,43,0,0,96,110,118,111,109,143,134,126,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Strzelców,5a,,31-422,Kraków,124121006,"brak specyfiki","Dzieci lub młodzież",publiczna
32,9927,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 123 IM. GEN. JÓZEFA BEMA W KRAKOWIE",388,19,0,0,65,53,49,51,58,44,45,23,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Okólna,16,,30-684,Kraków,126580608,"brak specyfiki","Dzieci lub młodzież",publiczna
33,9928,"Szkoła podstawowa","SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 144 IM. BOHATERÓW WRZEŚNIA 1939 W KRAKOWIE",512,27,0,0,73,33,60,74,78,72,81,41,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Bohaterów Września",13,,31-620,Kraków,126480302,"brak specyfiki","Dzieci lub młodzież",publiczna
34,9937,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 129 IM. KORNELA MAKUSZYŃSKIEGO W KRAKOWIE",344,17,0,0,62,39,50,45,57,32,29,30,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Na Wzgórzach",13a,,31-722,Kraków,126451576,"brak specyfiki","Dzieci lub młodzież",publiczna
35,11012,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 1 IM. KOMISJI EDUKACJI NARODOWEJ W KRAKOWIE",342,14,0,0,48,42,26,52,56,29,51,38,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"św. Marka",34,,31-024,Kraków,124225866,"brak specyfiki","Dzieci lub młodzież",publiczna
36,11111,"Szkoła podstawowa","SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 30 IM. KAZIMIERZA PUŁASKIEGO W KRAKOWIE",300,16,12,0,35,19,35,33,43,35,47,41,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Konfederacka,12,,30-306,Kraków,122663658,"brak specyfiki","Dzieci lub młodzież",publiczna
